actual,predicted
startseq in this image we can see man in white color jacket is watching and holding micro scope which is kept on marble surface we can also see some papers on which something is written camera charging cable on that marble surface we can also see calendar two bottles card box on which something is written endseq,startseq in the image can see man and the the there are and are and some the some and are and some the some and are and some the some and are and some the there are and there see and some the some the there see and there see and there see and some the some the there see and there see and there see and some the some the there see and there see and there see and some the some the there see and there see and there see and some the some the there see and there see and there see and some the some the there see and there see and there see and some the some the there see and there see and there see and some the some the the there are and there see and some the some the the there are and there see and some the some the the there are and there see and some the some the the there are and
startseq this image might be taken indoors endseq,startseq in this image can see person endseq
startseq in this image there are groups of people standing some of them are wearing bags endseq,startseq in this image can see people standing endseq
startseq in this image we can see crane and there are two persons standing on the crane endseq,startseq in this image we we we we see person and some some some sitting endseq
startseq in this picture we can see small boy sleeping on white bed with white pillows endseq,startseq in this image can see person endseq
startseq in this image there is person sitting on the rock endseq,startseq in this image can see person on on on endseq
startseq in the image can see the picture of person who is wearing the helmet and riding the bicycle and to the side there is the blurred picture of some trees endseq,startseq in this image can see person on on on on on endseq
startseq in this image in the center there are two people who are standing and in the center it looks like there is some vehicle and there are belts on the vehicle endseq,startseq in this image can see person and person and some the some the some the some the some the some the some the some the some the some the some the some the some and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are
startseq in this image we can see building and there are windows boards with text and there are glass doors through the glass we can see mannequins cabinets clothes and there are lights endseq,startseq in this image we can see man and man and and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are and are
startseq in this image we can see some people are sitting on chairs and working on the computers endseq,startseq in the image can see playing playing and the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the
startseq in this picture can see few people looks like kids are running endseq,startseq in the image can see people endseq
startseq in this image we can see people and some are wearing bags and holding objects endseq,startseq in this image can see woman on endseq
startseq in this picture we can see person wearing cap and holding fishing rod endseq,startseq in this image there is taken outdoors endseq
startseq in this picture we can see big image on board in front there are people in crane setting that image top there is person watching that endseq,startseq in the image can see people endseq
startseq in the image on the road there are poles endseq,startseq in this image there see people endseq
startseq in this picture can observe man endseq,startseq in this image can see woman and wearing wearing that is endseq
startseq in this image can see two men standing in tshirts and pants and the right side man is holding plastic jerry can with some liquid in his hands and can also see bulldozer pipe water stones soil some other jerry cans with liquids and in the background can see some objects trees hills and sky endseq,startseq in this image we can see person endseq
startseq in front of the image there is person standing on the metal structure endseq,startseq in this image can see people endseq
startseq in this image can see group of kids playing with toys on the road endseq,startseq in this picture can see person endseq
startseq in this image see man sitting in front of table while wearing cap and holding glass in his hand and having some drink in it beside him see few chairs and tables with few objects placed on it and person standing beside it and few people sitting on the chairs behind him endseq,startseq in this image there see person endseq
startseq in this image can see boy standing in tshirt pant with helmet and waistcoat and can also see floor some items table toys some wooden objects another child standing in red color top pant with shoes some stickers stick to wall lights windows glasses books in shelf wall clock and in the background can see tree branches and sky endseq,startseq in this image can see woman on on and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and see and and
startseq in this image we can see person holding trolley endseq,startseq in the see see can see people standing endseq
